STT	From	To
1	20200120	20200124
2	20200128	20200201
3	20200205	20200209
4	20202017	20202020
5	20200222	20200226
6	20200227	20200230
7	20200302	20200306
8	20200306	20200309
9	20200310	20200310
10	20200311	20200311
11	20200312	20200312
12	20200313	20200313
13	20200314	20200314
14	20200315	20200315
15	20200316	20200316
16	20200317	20200317
17	20200318	20200318
18	20200319	20200321
19	20200322	20200324
20	20200325	20200326
21	20200327	20200331
22	20200401	20200403
23	20200407	20200410
24	20200417	20200419
25	20200425	20200502
26	20200504	20200506
27	20200506	20200510
28	20200509	20200511
29	20200512	20200514
30	20200726	20200730
31	20200830	20200903
32	20200905	20200909
33	20200910	20200913
34	20201022	20201026
35	20201030	20201103
36	20201129	20201203
37	20201201	20201205
38	20201208	20201212
39	20201211	20201215
40	20201215	20201219
41	20201220	20201221
42	20201222	20201222
43	20201223	20201225
44	20201226	20201228
45	20201229	20201231
46	20210125	20210129
47	20210126	20210130
48	20210203	20210207
49	20210208	20210209
50	20210210	20210212
51	20210214	20210216
52	20210217	20210219
53	20210301	20210305
54	20210306	20210308
55	20210320	20210324
56	20210330	20210403
57	20210425	20210429
58	20210516	20210520
59	20210525	20210529
60	20210530	20210601
61	20210703	20210707
62	20210708	20210711
63	20210717	20210721
64	20210722	20210726
65	20210904	20210908
66	20210920	20210924
67	20210931	20211003
68	20211009	20211013
69	20211003	20211007
70	20211008	20211012
71	20211025	20211027
72	20211028	20211030
73	20211103	20211107
74	20211109	20211113
75	20211122	20211126
76	20211127	2021201
77	20211202	20211204
78	20211210	20211214
79	20211226	20211228
80	20211229	20211230
81	20211231	20211231
